number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
68,0.42840246340117477,2025-01-10 22:46:20.798552,2025-01-10 22:48:56.191629,0 days 00:02:35.393077,45.904207723729336,0.8096195615001053,0.343666399499054,0.2552904233476227,9.151373057669126,49.41214686097073,0.17034119399813136,26,28,2239,0.7288295895103549,COMPLETE
69,0.40892425432357676,2025-01-10 22:46:27.150541,2025-01-10 22:49:12.716504,0 days 00:02:45.565963,45.12171009099352,0.30842297479804626,0.3487138111811525,0.2578677415433736,3.3270178897713714,38.95919763937036,0.17126707225562518,25,29,2291,0.7267551639395979,COMPLETE
70,0.3895292463187399,2025-01-10 22:46:29.805696,2025-01-10 22:49:40.623577,0 days 00:03:10.817881,20.172110710524592,0.2970491562838184,0.3460496730319877,0.2643593536337786,2.799507759195565,49.98490918972367,0.1711710392164484,5,82,2302,0.9427041866835035,COMPLETE
71,0.45238236907264745,2025-01-10 22:46:45.022867,2025-01-10 22:49:22.659646,0 days 00:02:37.636779,80.19085772486866,0.76811048615984,0.34708469613329884,0.2703567817526804,8.852754176189922,20.165626578412397,0.16983444640720047,26,29,1147,0.9460410720780607,COMPLETE
72,0.4182894625482125,2025-01-10 22:46:59.616044,2025-01-10 22:49:54.109239,0 days 00:02:54.493195,20.092622208618575,0.29028497324514424,0.7245998670645222,0.25603634018088905,8.202037095914177,22.150068167292652,0.16903701092276807,28,28,2344,0.9580079513797214,COMPLETE
73,0.4079268090082832,2025-01-10 22:47:46.172483,2025-01-10 22:50:04.475051,0 days 00:02:18.302568,19.103348575518627,0.27105434837034537,0.7375049521849798,0.2684528889907269,8.677374944119432,36.153358762304116,0.1683191768526352,9,83,2291,0.9480438758966867,COMPLETE
74,0.392340960623206,2025-01-10 22:47:55.084159,2025-01-10 22:49:50.712546,0 days 00:01:55.628387,18.197022931587934,0.4775638188828986,0.7235346994118721,0.2647437901648384,3.4484261088155077,39.54568172365091,0.16977706431763306,8,52,1401,0.9506926065208168,COMPLETE
75,0.3836327565577095,2025-01-10 22:47:56.422172,2025-01-10 22:49:56.947961,0 days 00:02:00.525789,21.479938009450052,0.4838749219298014,0.48218321776377626,0.26482444422787327,2.8306674009710964,19.66565868100892,0.17138190165889403,9,52,1363,0.9992534835098871,COMPLETE
76,0.3933757828401872,2025-01-10 22:48:00.052107,2025-01-10 22:50:46.402556,0 days 00:02:46.350449,24.638140663156648,0.4766523708815291,0.2776167589272018,0.26353995541518155,2.7234739174104194,38.758777170666356,0.17225200982748198,8,29,2305,0.9393725511127328,COMPLETE
77,0.39184876996306256,2025-01-10 22:48:00.415828,2025-01-10 22:51:05.443066,0 days 00:03:05.027238,18.54962102713155,0.48188757926604014,0.48615510166206066,0.2567839834208429,3.233300119610623,38.5390816072555,0.1670483279066396,7,83,2931,0.9172616395788317,COMPLETE
